ct,open,high,low,close,volume,cumulative_delta,vah,val,poc_vol
2026-06-03 10:50:00,7583.25,7585,7582.25,7583.75,4126,-137,0,0,0
2026-06-03 10:55:00,7583.5,7585,7582.75,7583.25,3300,-151,0,0,0
2026-06-03 11:00:00,7583.25,7583.5,7575.75,7577.75,11816,-156,0,0,0
2026-06-03 11:05:00,7577.75,7581.25,7577.5,7578.75,5428,-150,0,0,0
2026-06-03 11:10:00,7579,7579.25,7574.25,7577.5,7506,-121,0,0,0
2026-06-03 11:15:00,7577.5,7581.75,7576.25,7578.75,8153,-150,0,0,0
2026-06-03 11:20:00,7578.5,7579.25,7574.25,7574.25,5399,-167,0,0,0
2026-06-03 11:25:00,7574.5,7576,7573.25,7575.75,5538,-148,0,0,0
2026-06-03 11:30:00,7575.75,7577,7573.5,7575.5,5918,-189,0,0,0
2026-06-03 11:35:00,7575.5,7581.75,7574.75,7581,6824,-213,0,0,0
2026-06-03 11:40:00,7580.75,7582.75,7579.75,7580.75,5867,-203,0,0,0
2026-06-03 11:45:00,7567.75,7573.25,7567.5,7572.75,10783,-217,0,0,0
2026-06-03 11:50:00,7572.75,7575,7570.5,7572.5,11648,-160,0,0,0
2026-06-03 11:55:00,7572.75,7578.75,7571,7578.25,12174,-223,0,0,0
2026-06-03 12:00:00,7578.25,7578.5,7573,7574,7910,-244,0,0,0
2026-06-03 12:05:00,7573.75,7578.75,7572,7576,10443,-248,0,0,0
2026-06-03 12:10:00,7576,7576.75,7568,7570,10236,-254,0,0,0
2026-06-03 13:05:00,7644.5,7645,7642.75,7643,9,-191,0,0,0
2026-06-03 13:10:00,7643.25,7643.75,7641.5,7643.75,16,-187,0,0,0
2026-06-03 13:15:00,7640.75,7641.5,7638.75,7641.5,30,4,0,0,0
2026-06-04 08:30:00,7593.5,7593.5,7588.5,7591.25,9535,42,0,0,0
2026-06-04 08:35:00,7591.25,7596.5,7590.75,7595.5,6855,27,0,0,0
2026-06-04 08:40:00,7595.5,7596.75,7593.75,7595.75,4970,26,0,0,0
2026-06-04 08:45:00,7595.75,7596.5,7593.75,7595.25,4275,22,0,0,0
2026-06-04 08:50:00,7595.25,7597.5,7595,7596.75,5260,-79,0,0,0
2026-06-04 08:55:00,7596.75,7597.5,7596,7596.25,2765,-86,0,0,0
2026-06-04 09:00:00,7596.25,7597.25,7594,7595.25,5175,-83,0,0,0
2026-06-04 09:05:00,7595.25,7597.75,7594,7597.25,3998,-81,0,0,0
2026-06-04 09:10:00,7597.25,7598,7595.25,7596.25,4473,-66,0,0,0
2026-06-04 09:15:00,7596.25,7597,7595,7596.5,2497,-121,0,0,0
2026-06-04 09:20:00,7596.5,7597,7594.25,7596.25,3413,-94,0,0,0
2026-06-04 09:25:00,7596.25,7600,7596.25,7599.25,5952,-106,0,0,0
2026-06-04 09:30:00,7599.25,7602.5,7598.5,7600.5,8900,-107,0,0,0
2026-06-04 09:35:00,7600.5,7600.75,7598.25,7599.25,4161,-88,0,0,0
2026-06-04 09:40:00,7599.25,7601.25,7599.25,7600.5,2416,-94,0,0,0
2026-06-04 09:45:00,7628.75,7633.25,7624.5,7626,16,-95,0,0,0
2026-06-04 09:50:00,7628.5,7629.75,7626,7629.75,15,-69,0,0,0
2026-06-04 09:55:00,7629.25,7634.5,7629.25,7634.5,30,26,0,0,0
2026-06-04 10:00:00,7604.75,7606.75,7603.75,7605.75,7715,569,0,0,0
2026-06-04 10:05:00,7605.5,7606.75,7604.5,7605.5,3693,-307,0,0,0
2026-06-04 10:10:00,7605.5,7606.75,7604.5,7604.75,2782,-32,0,0,0
2026-06-04 10:15:00,7605,7607,7603.5,7606.75,5130,254,0,0,0
2026-06-04 10:20:00,7606.75,7607.5,7605.5,7606,4235,-197,0,0,0
2026-06-04 10:25:00,7606.25,7607.25,7605.5,7606.25,2689,-437,0,0,0
2026-06-04 10:30:00,7606.25,7607,7604.25,7606,3201,-439,0,0,0
2026-06-04 10:35:00,7606,7607.5,7605.5,7606,3222,146,0,0,0
2026-06-04 10:40:00,7606,7606.5,7605,7605.75,2012,114,0,0,0
2026-06-04 10:45:00,7605.75,7607.75,7604.75,7606.75,3018,54,0,0,0
2026-06-04 10:50:00,7607,7607.5,7606,7606.25,1761,-151,0,0,0
2026-06-04 10:55:00,7606.5,7606.5,7603,7604.25,5098,-866,0,0,0
2026-06-04 11:00:00,7604.5,7607.25,7604.25,7607.25,3596,652,0,0,0
2026-06-04 11:05:00,7607,7609,7606.75,7607.25,5390,476,0,0,0
2026-06-04 11:10:00,7607.25,7607.75,7605,7606,4794,-288,0,0,0
2026-06-04 11:15:00,7606,7606.25,7604,7605,4238,-26,0,0,0
2026-06-04 11:20:00,7605.25,7608.25,7604.75,7608,4130,540,0,0,0
2026-06-04 11:25:00,7608,7611.5,7607.5,7610.75,6282,1384,0,0,0
2026-06-04 11:30:00,7610.75,7611.5,7609.25,7609.75,4696,-192,0,0,0
2026-06-04 11:35:00,7609.75,7611,7609,7610.25,3158,160,0,0,0
2026-06-04 11:40:00,7610.25,7610.25,7606,7606.25,5248,-774,0,0,0
2026-06-04 11:45:00,7606.25,7607.5,7604.5,7606.75,5692,-88,0,0,0
2026-06-04 11:50:00,7606.75,7608.5,7602.25,7604.25,13876,-894,0,0,0
2026-06-04 11:55:00,7604,7604.25,7598.25,7599.75,28401,-2785,0,0,0
2026-06-05 08:30:00,7471.75,7472.5,7463,7466.75,20173,-46,0,0,0
2026-06-05 08:35:00,7466.75,7470,7461,7466.75,15453,-143,0,0,0
2026-06-05 08:40:00,7466.75,7468.5,7453.25,7456.75,20869,-171,0,0,0
2026-06-05 08:45:00,7456.5,7460.25,7448.75,7460.25,24649,-147,0,0,0
2026-06-05 08:50:00,7460.25,7471,7457,7469.75,22705,-460,0,0,0
2026-06-05 08:55:00,7524.25,7524.75,7510.75,7511.5,26897,-303,0,0,0
2026-06-05 09:00:00,7511.5,7520.25,7505.75,7513.75,53036,-169,0,0,0
2026-06-05 09:05:00,7514,7522.5,7508.75,7522,33867,-172,0,0,0
2026-06-05 09:10:00,7459.5,7461,7453.75,7458.5,12124,-146,0,0,0
2026-06-05 09:15:00,7458.5,7459.75,7452.5,7457.25,10813,-204,0,0,0
2026-06-05 09:20:00,7457.25,7466,7452.25,7465,13935,-186,0,0,0
2026-06-05 09:25:00,7465,7465.5,7458.25,7464.75,11834,-180,0,0,0
2026-06-05 09:30:00,7464.75,7467.25,7459.75,7466.75,11815,-196,0,0,0
2026-06-05 09:35:00,7466.5,7474.25,7466.5,7473.75,13592,-161,0,0,0
2026-06-05 09:40:00,7473.75,7477.75,7460.75,7462.5,18112,-152,0,0,0
2026-06-05 09:45:00,7462.75,7468,7460.5,7464.25,13670,-153,0,0,0
