id,pattern_id_at_entry,direction,day_type_at_entry,session_at_entry,entry_ts,entry_price,stop,t1,t2,t3,t1_hit_ts,t2_hit_ts,t3_hit_ts,stop_hit_ts,exit_ts,exit_price,exit_reason,pnl_usd,pnl_r,outcome,quality
118,REACTIVE_SHORT,SHORT,,,2026-06-16 16:40:03.706195+03:00,7629.25,7629.0,7623.25,7613.25,,2026-06-16 16:55:00+03:00,,,2026-06-16 16:55:00+03:00,2026-06-16 16:55:00+03:00,7629.0,STOP_HIT,32.5,0.27,WIN,"{'trigger': 'REACTIVE_SHORT', 'day_type': None, 'metadata': {'sizing': 3, 'pattern': 'REACTIVE_SHORT', 'variant': 'A_VSA', 'stop_initial': 7637.25, 'variants_passed': ['A_VSA', 'B_RVOL', 'C_STRICT']}, 'blocked_by': None, 'confidence': 0.75, 'initial_stop': 7637.25, 'pattern_name': 'REACTIVE_SHORT', 'classification': 'REACTIVE_SHORT'}"
124,INITIATIVE_SHORT,SHORT,Trend_Normal,,2026-06-16 17:25:01.165771+03:00,7617.25,7617.0,7610.69,7599.75,,2026-06-16 17:30:00+03:00,,,2026-06-16 17:35:00+03:00,2026-06-16 17:35:00+03:00,7617.0,STOP_HIT,35.3,0.27,WIN,"{'trigger': 'INITIATIVE_SHORT', 'day_type': None, 'metadata': {'sizing': 1, 'pattern': 'INITIATIVE_SHORT', 'variant': None, 'stop_initial': 7626.0, 'variants_passed': None}, 'blocked_by': None, 'confidence': 0.75, 'initial_stop': 7626.0, 'pattern_name': 'INITIATIVE_SHORT', 'classification': 'INITIATIVE_SHORT'}"
125,INITIATIVE_SHORT,SHORT,Trend_Normal,,2026-06-16 17:30:00.692413+03:00,7612.0,7611.75,7604.69,7592.5,,2026-06-16 18:25:00+03:00,,,2026-06-16 18:25:00+03:00,2026-06-16 18:25:00+03:00,7611.75,STOP_HIT,39.05,0.27,WIN,"{'trigger': 'INITIATIVE_SHORT', 'day_type': None, 'metadata': {'sizing': 1, 'pattern': 'INITIATIVE_SHORT', 'variant': None, 'stop_initial': 7621.75, 'variants_passed': None}, 'blocked_by': None, 'confidence': 0.75, 'initial_stop': 7621.75, 'pattern_name': 'INITIATIVE_SHORT', 'classification': 'INITIATIVE_SHORT'}"
128,REACTIVE_SHORT,SHORT,Variation,,2026-06-16 17:45:03.108653+03:00,7613.75,7613.5,7607.38,7596.75,,2026-06-16 17:55:00+03:00,,,2026-06-16 17:55:00+03:00,2026-06-16 17:55:00+03:00,7613.5,STOP_HIT,34.35,0.27,WIN,"{'trigger': 'REACTIVE_SHORT', 'day_type': None, 'metadata': {'sizing': 3, 'pattern': 'REACTIVE_SHORT', 'variant': 'B_RVOL', 'stop_initial': 7622.25, 'variants_passed': ['B_RVOL']}, 'blocked_by': None, 'confidence': 0.75, 'initial_stop': 7622.25, 'pattern_name': 'REACTIVE_SHORT', 'classification': 'REACTIVE_SHORT'}"
132,REACTIVE_LONG,LONG,Variation,,2026-06-16 18:10:03.443505+03:00,7616.25,7609.25,7621.5,7630.25,,,,,2026-06-16 18:20:00+03:00,2026-06-16 18:20:00+03:00,7609.25,STOP_HIT,-105.0,-1.0,LOSS,"{'trigger': 'REACTIVE_LONG', 'day_type': None, 'metadata': {'sizing': 3, 'pattern': 'REACTIVE_LONG', 'variant': 'B_RVOL', 'stop_initial': 7609.25, 'variants_passed': ['B_RVOL']}, 'blocked_by': None, 'confidence': 0.75, 'pattern_name': 'REACTIVE_LONG', 'classification': 'REACTIVE_LONG'}"
135,REACTIVE_LONG,LONG,Variation,,2026-06-16 19:10:01.836437+03:00,7617.5,7608.75,7624.06,7635.0,,,,,2026-06-16 19:30:00+03:00,2026-06-16 19:30:00+03:00,7608.75,STOP_HIT,-131.25,-1.0,LOSS,"{'trigger': 'REACTIVE_LONG', 'day_type': None, 'metadata': {'sizing': 3, 'pattern': 'REACTIVE_LONG', 'variant': 'A_VSA', 'stop_initial': 7608.75, 'variants_passed': ['A_VSA', 'B_RVOL']}, 'blocked_by': None, 'confidence': 0.75, 'pattern_name': 'REACTIVE_LONG', 'classification': 'REACTIVE_LONG'}"
136,REACTIVE_SHORT,SHORT,Variation,,2026-06-16 19:55:00.475873+03:00,7609.0,7608.75,7603.94,7595.5,,2026-06-16 20:20:00+03:00,,,2026-06-16 20:50:00+03:00,2026-06-16 20:50:00+03:00,7608.75,STOP_HIT,27.8,0.27,WIN,"{'trigger': 'REACTIVE_SHORT', 'day_type': None, 'metadata': {'sizing': 2, 'pattern': 'REACTIVE_SHORT', 'variant': 'B_RVOL', 'stop_initial': 7615.75, 'variants_passed': ['B_RVOL']}, 'blocked_by': None, 'confidence': 0.75, 'initial_stop': 7615.75, 'pattern_name': 'REACTIVE_SHORT', 'classification': 'REACTIVE_SHORT'}"
137,REACTIVE_LONG,LONG,Variation,,2026-06-16 20:00:03.882306+03:00,7610.5,7605.25,7614.44,7621.0,,,,,2026-06-16 20:05:00+03:00,2026-06-16 20:05:00+03:00,7605.25,STOP_HIT,-78.75,-1.0,LOSS,"{'trigger': 'REACTIVE_LONG', 'day_type': None, 'metadata': {'sizing': 2, 'pattern': 'REACTIVE_LONG', 'variant': 'A_VSA', 'stop_initial': 7605.25, 'variants_passed': ['A_VSA', 'B_RVOL']}, 'blocked_by': None, 'confidence': 0.75, 'pattern_name': 'REACTIVE_LONG', 'classification': 'REACTIVE_LONG'}"
146,REACTIVE_SHORT,SHORT,Trend_Normal,,2026-06-16 22:35:01.713097+03:00,7590.75,7590.5,7584.09,7570.25,,2026-06-16 22:55:00+03:00,,,2026-06-16 22:55:00+03:00,2026-06-16 22:55:00+03:00,7590.5,STOP_HIT,35.8,0.23,WIN,"{'trigger': 'REACTIVE_SHORT', 'day_type': None, 'metadata': {'sizing': 0, 'pattern': 'REACTIVE_SHORT', 'variant': 'A_VSA', 'stop_initial': 7601.0, 'variants_passed': ['A_VSA', 'B_RVOL']}, 'blocked_by': None, 'confidence': 0.75, 'initial_stop': 7601.0, 'pattern_name': 'REACTIVE_SHORT', 'classification': 'REACTIVE_SHORT'}"
147,REACTIVE_SHORT,SHORT,,,2026-06-18 16:35:04.896078+03:00,7557.5,7557.25,7547.5,7507.5,,2026-06-18 16:40:00+03:00,,,2026-06-18 17:05:00+03:00,2026-06-18 17:05:00+03:00,7557.25,STOP_HIT,52.5,0.14,WIN,"{'trigger': 'REACTIVE_SHORT', 'day_type': None, 'metadata': {'sizing': 2, 'pattern': 'REACTIVE_SHORT', 'variant': 'B_RVOL', 'stop_initial': 7582.5, 'variants_passed': ['B_RVOL']}, 'blocked_by': None, 'confidence': 0.75, 'initial_stop': 7582.5, 'pattern_name': 'REACTIVE_SHORT', 'classification': 'REACTIVE_SHORT'}"
